GSM2495761,../data/GSM2495761_BM_CTRL_141051_INTER-STR_counts.txt.gz,CTRL,BM
GSM2495762,../data/GSM2495762_BM_CTRL_141057_INTER-STR_counts.txt.gz,CTRL,BM
GSM2495763,../data/GSM2495763_BM_CTRL_141063_INTER-STR_counts.txt.gz,CTRL,BM
GSM2495764,../data/GSM2495764_BM_AMIL_141053_INTER-STR_counts.txt.gz,AMIL,BM
GSM2495765,../data/GSM2495765_BM_AMIL_141059_INTER-STR_counts.txt.gz,AMIL,BM
GSM2495766,../data/GSM2495766_BM_AMIL_141065_INTER-STR_counts.txt.gz,AMIL,BM
GSM2495767,../data/GSM2495767_JJ_CTRL_141048_INTER-Str_counts.txt.gz,CTRL,JJ
GSM2495768,../data/GSM2495768_JJ_CTRL_141054_INTER-Str_counts.txt.gz,CTRL,JJ
GSM2495769,../data/GSM2495769_JJ_CTRL_141060_INTER-Str_counts.txt.gz,CTRL,JJ
GSM2495770,../data/GSM2495770_JJ_AMIL_141050_INTER-Str_counts.txt.gz,AMIL,JJ
GSM2495771,../data/GSM2495771_JJ_AMIL_141056_INTER-Str_counts.txt.gz,AMIL,JJ
GSM2495772,../data/GSM2495772_JJ_AMIL_141062_INTER-Str_counts.txt.gz,AMIL,JJ
GSM3215905,../data/GSM3215905_BM_TG_141052_INTER-STR_counts.txt.gz,TG,BM
GSM3215906,../data/GSM3215906_BM_TG_141058_INTER-STR_counts.txt.gz,TG,BM
GSM3215907,../data/GSM3215907_BM_TG_141064_INTER-STR_counts.txt.gz,TG,BM
GSM3215908,../data/GSM3215908_JJ_TG_141049_INTER-STR_counts.txt.gz,TG,JJ
GSM3215909,../data/GSM3215909_JJ_TG_141055_INTER-STR_counts.txt.gz,TG,JJ
GSM3215910,../data/GSM3215910_JJ_TG_141061_INTER-STR_counts.txt.gz,TG,JJ
